Kind,Name,PercentLackOfCohesion,MaxInheritanceTree,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclMethod
Class,"SurfaceImpl",91,1,8,0,79,39
Class,"SurfaceImpl",85,1,6,0,80,40
Class,"SymbolsStyleDialog",85,3,8,0,69,10
Class,"TabBar",89,1,1,2,63,31
Struct,"TextRange",0,0,1,0,0,0
Struct,"TextToFind",0,0,1,0,0,0
Class,"TiXmlAttribute",67,1,4,0,39,21
Class,"TiXmlAttributeSet",0,0,2,0,7,7
Abstract Class,"TiXmlBase",88,0,4,2,18,18
Private Struct,"TiXmlBase::Entity",0,0,0,0,0,0
Protected Class,"TiXmlBase::StringToBuffer",0,0,1,0,2,2
Class,"TiXmlComment",0,2,4,0,65,6
Struct,"TiXmlCursor",50,0,0,0,2,2
Class,"TiXmlDeclaration",30,2,5,0,69,10
Class,"TiXmlDocument",79,2,6,0,81,22
Class,"TiXmlElement",23,2,7,0,76,17
Class,"TiXmlHandle",0,0,3,0,13,13
Abstract Class,"TiXmlNode",79,1,7,6,59,41
Class,"TiXmlOutStream",0,1,0,0,29,3
Class,"TiXmlParsingData",22,0,1,0,3,3
Class,"TiXmlString",48,0,0,1,26,26
Class,"TiXmlText",0,2,3,0,66,7
Class,"TiXmlUnknown",0,2,4,0,65,6
Class,"Timer",0,0,0,0,1,1
Class,"ToolBar",79,1,2,0,60,19
Class,"ToolBarIcons",73,1,2,0,16,14
Class,"TreeView",0,1,0,0,46,5
Class,"URLCtrl",42,1,0,0,46,5
Class,"UndoHistory",56,0,1,0,18,18
Class,"UserDefineDialog",87,3,12,0,86,27
Class,"UserLangContainer",35,0,1,0,5,5
Class,"Utf16_Iter",61,1,0,0,7,7
Class,"Utf8_16",0,0,0,4,0,0
Class,"Utf8_16_Read",54,1,1,0,6,6
Class,"Utf8_16_Write",46,1,1,0,6,6
Class,"Utf8_Iter",62,1,0,0,9,9
Class,"ValueDlg",64,2,0,0,56,7
Class,"ViewStyle",69,0,11,0,10,10
Class,"Window",62,0,3,16,32,32
Abstract Class,"Window",87,0,3,15,41,41
Class,"WindowAccessor",81,1,3,0,50,24
Class,"WindowInterface",0,1,0,0,43,2
Class,"WordList",49,0,1,0,11,11
Class,"WordStyleDlg",81,2,8,0,68,19
Class,"XPM",73,0,6,0,17,17
Class,"XPMSet",34,0,1,0,7,7
Struct,"iconLocator",0,0,0,0,1,1
