Kind,Name,CountClassCoupled,CountClassDerived,CountDeclMethodAll,CountDeclMethod,MaxInheritanceTree,PercentLackOfCohesion
File,"AsyncContext.java",,,,13,,
File,"AsyncContextCallback.java",,,,4,,
File,"AsyncContextImpl.java",,,,31,,
File,"AsyncDispatcher.java",,,,1,,
File,"AsyncEvent.java",,,,8,,
File,"AsyncFileHandler.java",,,,15,,
File,"AsyncListener.java",,,,4,,
File,"AsyncListenerWrapper.java",,,,9,,
File,"AsyncStateMachine.java",,,,29,,
File,"AsyncStockContextListener.java",,,,2,,
File,"AsyncStockServlet.java",,,,9,,
File,"AttributeInfo.java",,,,14,,
File,"AttributeParser.java",,,,7,,
File,"AuthConfig.java",,,,5,,
File,"AuthConfigFactory.java",,,,17,,
File,"AuthConfigFactoryImpl.java",,,,32,,
File,"AuthConfigProvider.java",,,,3,,
File,"AuthException.java",,,,2,,
File,"AuthStatus.java",,,,2,,
File,"AuthenticatedUserRealm.java",,,,2,,
File,"Authentication.java",,,,2,,
File,"AuthenticationException.java",,,,1,,
File,"AuthenticationType.java",,,,8,,
File,"Authenticator.java",,,,8,,
File,"Authenticator.java",,,,3,,
File,"Authenticator.java",,,,1,,
File,"AuthenticatorBase.java",,,,55,,
File,"AuthenticatorFactory.java",,,,2,,
File,"Authorization.java",,,,4,,
File,"B2CConverter.java",,,,7,,
File,"BIOCallback.java",,,,4,,
File,"BackgroundProcess.java",,,,3,,
File,"BackgroundProcessManager.java",,,,10,,
File,"BackportBase.java",,,,2,,
File,"BackportEnglish.java",,,,3,,
File,"BackportTranslations.java",,,,3,,
File,"BackupManager.java",,,,24,,
File,"Base64.java",,,,28,,
File,"BaseAttributeFilter.java",,,,6,,
File,"BaseCatalinaMBean.java",,,,2,,
File,"BaseGenericObjectPool.java",,,,112,,
File,"BaseKeyedPooledObjectFactory.java",,,,7,,
File,"BaseModelMBean.java",,,,28,,
File,"BaseNCodec.java",,,,28,,
File,"BaseNotificationBroadcaster.java",,,,5,,
File,"BaseObject.java",,,,2,,
File,"BaseObjectPool.java",,,,11,,
File,"BaseObjectPoolConfig.java",,,,52,,
File,"BasePooledObjectFactory.java",,,,7,,
File,"BaseRedirectorHelperTask.java",,,,19,,
File,"BaseSessionComparator.java",,,,2,,
File,"BasicAuthenticator.java",,,,2,,
File,"BasicAuthenticator.java",,,,13,,
File,"BasicDataSource.java",,,,160,,
File,"BasicDataSourceFactory.java",,,,12,,
File,"BasicDataSourceMXBean.java",,,,1,,
File,"BasicManagedDataSource.java",,,,12,,
File,"BeanELResolver.java",,,,22,,
File,"BeanFactory.java",,,,1,,
File,"BeanNameELResolver.java",,,,7,,
File,"BeanNameResolver.java",,,,5,,
File,"BeanRepository.java",,,,4,,
File,"Benchmarks.java",,,,45,,
File,"Benchmarks.java",,,,15,,
File,"BinaryWebsocketMessage.java",,,,2,,
File,"BodyContent.java",,,,7,,
File,"BodyContentImpl.java",,,,38,,
File,"BodyTag.java",,,,2,,
File,"BodyTagSupport.java",,,,9,,
File,"BookBean.java",,,,4,,
File,"BooleanNode.java",,,,2,,
File,"Bootstrap.java",,,,22,,
File,"BorrowWaitTest.java",,,,2,,
File,"Buffer.java",,,,8,,
File,"BufferPool.java",,,,7,,
File,"BufferedInputFilter.java",,,,13,,
File,"Bug50571.java",,,,2,,
File,"Bug50805.java",,,,1,,
File,"Bug51582.java",,,,2,,
File,"Bug53367.java",,,,6,,
File,"Bug53545.java",,,,0,,
File,"Bug54225.java",,,,3,,
File,"Bug54227.java",,,,2,,
File,"Bug54978.java",,,,2,,
File,"Bug58096.java",,,,0,,
File,"ByteArrayOutputStream.java",,,,9,,
File,"ByteArrayServletOutputStream.java",,,,5,,
File,"ByteBufferHolder.java",,,,4,,
File,"ByteBufferUtils.java",,,,3,,
File,"ByteChunk.java",,,,47,,
File,"ByteCounter.java",,,,7,,
File,"ByteMessage.java",,,,6,,
File,"ByteUtil.java",,,,14,,
File,"BytesStreamer.java",,,,3,,
File,"C2BConverter.java",,,,6,,
File,"CGIServlet.java",,,,33,,
File,"CPDSConnectionFactory.java",,,,24,,
File,"Cache.java",,,,21,,
File,"CachedResource.java",,,,51,,
File,"CallMethodRule.java",,,,12,,
File,"CallParamRule.java",,,,7,,
File,"CallStack.java",,,,3,,
File,"CallStackUtils.java",,,,4,,
File,"CallbackHandlerImpl.java",,,,4,,
File,"CallerPrincipalCallback.java",,,,5,,
File,"CaptureLog.java",,,,4,,
File,"CaseInsensitiveKeyMap.java",,,,22,,
File,"Catalina.java",,,,47,,
File,"CatalinaBaseConfigurationSource.java",,,,5,,
File,"CatalinaCluster.java",,,,17,,
File,"CatalinaClusterSF.java",,,,1,,
File,"CatalinaProperties.java",,,,3,,
File,"Catch.java",,,,1,,
File,"CertStoreCallback.java",,,,3,,
File,"CertificateCreateRule.java",,,,2,,
File,"CertificateStoreAppender.java",,,,1,,
File,"CertificateStreamProvider.java",,,,3,,
File,"CertificateVerifier.java",,,,1,,
File,"Channel.java",,,,22,,
File,"ChannelCoordinator.java",,,,22,,
File,"ChannelCreator.java",,,,2,,
File,"ChannelData.java",,,,27,,
File,"ChannelException.java",,,,15,,
File,"ChannelInterceptor.java",,,,21,,
File,"ChannelInterceptorBase.java",,,,22,,
File,"ChannelListener.java",,,,4,,
File,"ChannelMessage.java",,,,11,,
File,"ChannelReceiver.java",,,,10,,
File,"ChannelSF.java",,,,1,,
File,"ChannelSender.java",,,,8,,
File,"CharArray.java",,,,7,,
File,"CharChunk.java",,,,39,,
File,"CharsetCache.java",,,,7,,
File,"CharsetMapper.java",,,,4,,
File,"CharsetUtil.java",,,,2,,
File,"ChatAnnotation.java",,,,6,,
File,"CheckEol.java",,,,9,,
File,"CheckOutThreadTest.java",,,,13,,
File,"CheckTest.java",,,,2,,
File,"Choose.java",,,,1,,
File,"ChunkedInputFilter.java",,,,20,,
File,"ChunkedOutputFilter.java",,,,9,,
File,"Cipher.java",,,,18,,
File,"ClassElementValue.java",,,,2,,
File,"ClassFormatException.java",,,,2,,
File,"ClassLoaderFactory.java",,,,10,,
File,"ClassLoaderLogManager.java",,,,28,,
File,"ClassLoaderUtil.java",,,,1,,
File,"ClassNameMBean.java",,,,1,,
File,"ClassParser.java",,,,10,,
File,"ClasspathURLStreamHandler.java",,,,1,,
File,"Client.java",,,,6,,
File,"ClientAbortException.java",,,,4,,
File,"ClientAuth.java",,,,3,,
File,"ClientAuthConfig.java",,,,1,,
File,"ClientAuthContext.java",,,,0,,
File,"ClientAuthModule.java",,,,2,,
File,"ClientEndpoint.java",,,,4,,
File,"ClientEndpointConfig.java",,,,13,,
File,"ClientEndpointHolder.java",,,,2,,
File,"CloseNowException.java",,,,4,,
File,"CloseReason.java",,,,11,,
File,"CloseWebsocketMessage.java",,,,0,,
